break ground	開創新局
acclaim	n. & vt. 讚揚，稱讚
nourishment	n. 營養
nourish	vt. 施肥；滋養
solace	n. 安慰，慰藉
make up one's mind…	下定決心
make a decision	下定決心
enroll	vi. 註冊；登記
enroll in...	註冊/登記上......(學校)
go on to V	接著(做)......
lay the foundation	為......奠定基礎
foundation	n. 基礎
go into...	花(時間、精力)在......
revolve	vi. 旋轉；以......為中心
revolve around...	以......為中心
encouragemant	n. 鼓勵
encourage	vt. 鼓勵，激勵
encourage sb to V	鼓勵某人(做)......
